Season,Episode,Title,Year,Votes,Rating
23,8,The Ten-Per-Cent Solution,2011,930,6.1
23,9,Holidays of Future Passed,2011,1841,8.3
23,10,Politically Inept with Homer Simpson,2012,1052,5.9
23,11,The D'oh-cial Network,2012,1079,6.9
23,12,Moe Goes from Rags to Riches,2012,1120,5.6
23,13,The Daughter Also Rises,2012,948,6.3
23,14,At Long Last Leave,2012,1109,6.9
23,15,Exit Through the Kwik-E-Mart,2012,938,6.8
23,16,How I Wet Your Mother,2012,1122,7.3
23,17,Them Robot,2012,1044,7
23,18,Beware My Cheating Bart,2012,1006,7.1
23,19,A Totally Fun Thing Bart Will Never Do Again,2012,1268,7.6
23,20,The Spy Who Learned Me,2012,870,6.7
23,21,Ned 'N Edna's Blend Agenda,2012,968,6.5
23,22,Lisa Goes Gaga,2012,2662,3.9
24,1,Moonshine River,2012,1151,6.3
24,2,Treehouse of Horror XXIII,2012,1219,7.3
24,3,Adventures in Baby-Getting,2012,951,6.8
24,4,Gone Abie Gone,2012,915,6.6
24,5,Penny-Wiseguys,2012,884,6.3
24,6,A Tree Grows in Springfield,2012,910,6.2
24,7,The Day the Earth Stood Cool,2012,1038,6.9
24,8,To Cur with Love,2012,941,7.2
24,9,Homer Goes to Prep School,2013,878,6.6
24,10,A Test Before Trying,2013,873,6.9
24,11,Changing of the Guardian,2013,895,6.4
24,12,Love Is a Many Splintered Thing,2013,956,6.2
24,13,Hardly Kirk-ing,2013,908,7
24,14,Gorgeous Grampa,2013,922,6.1
24,15,Black-Eyed Please,2013,933,6.9
24,16,Dark Knight Court,2013,930,7
24,17,What Animated Women Want,2013,910,6.3
24,18,Pulpit Friction,2013,893,6.4
24,19,Whiskey Business,2013,829,6.7
24,20,The Fabulous Faker Boy,2013,868,6.2
24,21,The Saga of Carl,2013,990,7
24,22,Dangers on a Train,2013,894,6.8
25,1,Homerland,2013,1216,6.8
25,2,Treehouse of Horror XXIV,2013,1269,7
25,3,Four Regrettings and a Funeral,2013,972,6.4
25,4,YOLO,2013,1009,6.4
25,5,Labor Pains,2013,938,6.8
25,6,The Kid Is All Right,2013,1000,6.3
25,7,Yellow Subterfuge,2013,965,6.7
25,8,White Christmas Blues,2013,952,6.4
25,9,Steal This Episode,2014,1343,7.7
25,10,Married to the Blob,2014,1021,6.9
25,11,Specs and the City,2014,947,7.1
25,12,Diggs,2014,947,6.2
25,13,The Man Who Grew Too Much,2014,1006,6.6
25,14,The Winter of His Content,2014,922,6.6
25,15,The War of Art,2014,891,6.8
25,16,You Don't Have to Live Like a Referee,2014,931,6.8
25,17,Luca$,2014,931,6.3
25,18,Days of Future Future,2014,1059,6.8
25,19,What to Expect When Bart's Expecting,2014,924,5.7
25,20,Brick Like Me,2014,1495,7.9
25,21,Pay Pal,2014,907,6.6
25,22,The Yellow Badge of Cowardge,2014,903,6.6
26,1,Clown in the Dumps,2014,1213,5.6
26,2,The Wreck of the Relationship,2014,991,6.8
